171514,ÇvÇbÇlÅ@ê¢äEê¨í∑äîåµëIÉtÉ@ÉìÉhÅió\ëzï™îzã‡íÒé¶å^Åj,,,
2022/02/18,8138,8216,1470,0
2022/02/21,7960,8036,1437,0
2022/02/22,7921,7997,1430,0
2022/02/24,7676,7750,1386,0
2022/02/25,7961,8037,1437,0
2022/02/28,8138,8216,1469,0
2022/03/01,8186,8265,1478,0
2022/03/02,8015,8092,1447,0
2022/03/03,8160,8238,1473,0
2022/03/04,7910,7986,1428,0
2022/03/07,7639,7712,1379,0
2022/03/08,7386,7457,1334,0
2022/03/09,7312,7382,1320,0
2022/03/10,7707,7781,1392,0
2022/03/11,7635,7708,1379,0
2022/03/14,7537,7609,1361,0
2022/03/15,7476,7548,1350,0
2022/03/16,7627,7700,1377,0
2022/03/17,8176,8254,1476,0
2022/03/18,8299,8379,1499,0
2022/03/22,8470,8551,1529,0
2022/03/23,8649,8732,1562,0
2022/03/24,8471,8552,1530,0
2022/03/25,8610,8693,1555,0
2022/03/28,8566,8648,2542,0
2022/03/29,8761,8845,2600,0
2022/03/30,8883,8968,2636,0
2022/03/31,8756,8840,2598,0
2022/04/01,8588,8670,2548,0
2022/04/04,8597,8679,2551,0
2022/04/05,8670,8753,2573,0
2022/04/06,8580,8662,2546,0
2022/04/07,8332,8412,2473,0
2022/04/08,8355,8435,2480,0
2022/04/11,8251,8330,2449,0
2022/04/12,8173,8251,2425,0
2022/04/13,8163,8241,2422,0
2022/04/14,8314,8394,2467,0
2022/04/15,8218,8297,2439,0
2022/04/18,8234,8313,2444,0
2022/04/19,8220,8299,2439,0
2022/04/20,8498,8580,2522,0
2022/04/21,8433,8514,2503,0
2022/04/22,8296,8376,2462,0
2022/04/25,8032,8109,2384,0
2022/04/26,8016,8093,2379,0
2022/04/27,7734,7808,2295,0
2022/04/28,7815,7890,2319,0
2022/05/02,7928,8004,2352,0
2022/05/06,7693,7767,2283,0
2022/05/09,7508,7580,2228,0
2022/05/10,7101,7169,2107,0
2022/05/11,7147,7216,2121,0
2022/05/12,7010,7077,2080,0
2022/05/13,7005,7072,2079,0
2022/05/16,7374,7445,2188,0
2022/05/17,7214,7283,2140,0
2022/05/18,7345,7415,2179,0
2022/05/19,7021,7088,2083,0
2022/05/20,7076,7144,2100,0
2022/05/23,7076,7144,2100,0
2022/05/24,7126,7194,2114,0
2022/05/25,6871,6937,2039,0
2022/05/26,6977,7044,2070,0
2022/05/27,7115,7183,2111,0
2022/05/30,7389,7460,2192,0
2022/05/31,7495,7567,2228,0
2022/06/01,7392,7463,2198,0
2022/06/02,7378,7449,2193,0
2022/06/03,7676,7750,2286,0
2022/06/06,7573,7646,2255,0
2022/06/07,7688,7762,2289,0
2022/06/08,7813,7888,2327,0
2022/06/09,7848,7923,2337,0
2022/06/10,7620,7693,2269,0
2022/06/13,7374,7445,2196,0
2022/06/14,6982,7049,2080,0
2022/06/15,6962,7029,2078,0
2022/06/16,7131,7199,2129,0
2022/06/17,6811,6876,2033,0
2022/06/20,6970,7037,2081,0
2022/06/21,6977,7044,2083,0
2022/06/22,7145,7214,2133,0
2022/06/23,7159,7228,2137,0
2022/06/24,7255,7325,2166,0
2022/06/27,7514,7586,2249,0
2022/06/28,7511,7583,2248,0
2022/06/29,7413,7484,2218,0
2022/06/30,7355,7426,2201,0
2022/07/01,7246,7316,2168,0
2022/07/04,7234,7303,2165,0
2022/07/05,7295,7365,2183,0
2022/07/06,7364,7435,2204,0
2022/07/07,7447,7518,2229,0
2022/07/08,7631,7704,2284,0
2022/07/11,7639,7712,2286,0
2022/07/12,7560,7633,2262,0
2022/07/13,7395,7466,2213,0
2022/07/14,7418,7489,2220,0
2022/07/15,7296,7366,2183,0
2022/07/19,7445,7516,2225,0
2022/07/20,7665,7739,2291,0
2022/07/21,7880,7956,2355,0
2022/07/22,7998,8075,2391,0
2022/07/25,7838,7913,2343,0
2022/07/26,7773,7848,2323,0
2022/07/27,7660,7734,2289,0
2022/07/28,7896,7972,2360,0
2022/07/29,8007,8084,2393,0
2022/08/01,8038,8115,2402,0
2022/08/02,7943,8019,2374,0
2022/08/03,8102,8180,2421,0
2022/08/04,8266,8345,2471,0
2022/08/05,8309,8389,2483,0
2022/08/08,8422,8503,2517,0
2022/08/09,8450,8531,2526,0
2022/08/10,8263,8342,2470,0
2022/08/12,8314,8394,2485,0
2022/08/15,8355,8435,2497,0
2022/08/16,8406,8487,2512,0
2022/08/17,8411,8492,2514,0
2022/08/18,8338,8418,2492,0
2022/08/19,8390,8471,2508,0
2022/08/22,8285,8365,2477,0
2022/08/23,8086,8164,2417,0
2022/08/24,8090,8168,2418,0
2022/08/25,8196,8275,2450,0
2022/08/26,8335,8415,2491,0
2022/08/29,8143,8221,2434,0
2022/08/30,8053,8130,2407,0
2022/08/31,8016,8093,2396,0
2022/09/01,7996,8073,2390,0
2022/09/02,7886,7962,2357,0
2022/09/05,7882,7958,2356,0
2022/09/06,7874,7950,2354,0
2022/09/07,7994,8071,2390,0
2022/09/08,8246,8325,2465,0
2022/09/09,8305,8385,2480,0
2022/09/12,8428,8509,2517,0
2022/09/13,8507,8589,2541,0
2022/09/14,8261,8340,2467,0
2022/09/15,8246,8325,2463,0
2022/09/16,8133,8211,2676,0
2022/09/20,8005,8082,2880,0
2022/09/21,7877,7953,2834,0
2022/09/22,7855,7930,2826,0
2022/09/26,7427,7498,2672,0
2022/09/27,7364,7435,2649,0
2022/09/28,7403,7474,2663,0
2022/09/29,7561,7634,2720,0
2022/09/30,7490,7562,2694,0
2022/10/03,7449,7520,2680,0
2022/10/04,7638,7711,2748,0
2022/10/05,7976,8053,2869,0
2022/10/06,7987,8064,2874,0
2022/10/07,8006,8083,2880,0
2022/10/11,7605,7678,2736,0
2022/10/12,7488,7560,2694,0
2022/10/13,7535,7607,2702,0
2022/10/14,7647,7720,2742,0
2022/10/17,7521,7593,2697,0
2022/10/18,7812,7887,2801,0
2022/10/19,7914,7990,2838,0
2022/10/20,7726,7800,2770,0
2022/10/21,7742,7816,2776,0
2022/10/24,7736,7810,2774,0
2022/10/25,7832,7907,2808,0
2022/10/26,8064,8141,2891,0
2022/10/27,7911,7987,2835,0
2022/10/28,7849,7924,2813,0
2022/10/31,8007,8084,2870,0
2022/11/01,7987,8064,2860,0
2022/11/02,7910,7986,2833,0
2022/11/04,7481,7553,2679,0
2022/11/07,7403,7474,2649,0
2022/11/08,7410,7481,2651,0
2022/11/09,7495,7567,2683,0
2022/11/10,7362,7433,2630,0
2022/11/11,7718,7792,2748,0
2022/11/14,7792,7867,2774,0
2022/11/15,7718,7792,2748,0
2022/11/16,7936,8012,2824,0
2022/11/17,7717,7791,2746,0
2022/11/18,7605,7678,2706,0
2022/11/21,7579,7652,2696,0
2022/11/22,7610,7683,2706,0
2022/11/24,7601,7674,2703,0
2022/11/25,7607,7680,2705,0
2022/11/28,7591,7664,2699,0
2022/11/29,7483,7555,2659,0
2022/11/30,7437,7508,2643,0
2022/12/01,7604,7677,2702,0
2022/12/02,7607,7680,2703,0
2022/12/05,7491,7563,2655,0
2022/12/06,7347,7418,2590,0
2022/12/07,7243,7313,2553,0
2022/12/08,7200,7269,2538,0
2022/12/09,7348,7419,2590,0
2022/12/12,7286,7356,2568,0
2022/12/13,7490,7562,2640,0
2022/12/14,7498,7570,2643,0
2022/12/15,7519,7591,2650,0
2022/12/16,7353,7424,2592,0
2022/12/19,7174,7243,2529,0
2022/12/20,6949,7016,2450,0
2022/12/21,6806,6871,2399,0
2022/12/22,6949,7016,2447,0
2022/12/23,6848,6914,2411,0
2022/12/26,6818,6883,2401,0
2022/12/27,6869,6935,2419,0
2022/12/28,6856,6922,2414,0
2022/12/29,6809,6874,2395,0
2022/12/30,6907,6973,2429,0
2023/01/04,6740,6805,2371,0
2023/01/05,6848,6914,2409,0
2023/01/06,6783,6848,2386,0
2023/01/10,6938,7005,2436,0
2023/01/11,7035,7103,2468,0
2023/01/12,7101,7169,2489,0
2023/01/13,6995,7062,2451,0
2023/01/16,6979,7046,2446,0
2023/01/17,7010,7077,2457,0
2023/01/18,7196,7265,2522,0
2023/01/19,6990,7057,2450,0
2023/01/20,6834,6900,2395,0
2023/01/23,7009,7076,2456,0
2023/01/24,7228,7297,2533,0
2023/01/25,7158,7227,2509,0
2023/01/26,7052,7120,2471,0
2023/01/27,7193,7262,2520,0
2023/01/30,7302,7372,2559,0
2023/01/31,7173,7242,2005,0
2023/02/01,7256,7326,2026,0
2023/02/02,7423,7494,2072,0
2023/02/03,7659,7732,2138,0
2023/02/06,7663,7737,1561,0
2023/02/07,7569,7642,1542,0
2023/02/08,7566,7639,1542,0
2023/02/09,7460,7532,1520,0
2023/02/10,7312,7382,1490,0
2023/02/13,7223,7292,1471,0
2023/02/14,7356,7427,1498,0
2023/02/15,7442,7513,1516,0
2023/02/16,7618,7691,1552,0
2023/02/17,7503,7575,1528,0
2023/02/20,7431,7502,1513,0
2023/02/21,7423,7494,1512,0
2023/02/22,7308,7378,1488,0
2023/02/24,7278,7348,1482,0
2023/02/27,7267,7337,2152,0
2023/02/28,7318,7388,2167,0
2023/03/01,7305,7375,2163,0
2023/03/02,7294,7364,2160,0
2023/03/03,7374,7445,2183,0
2023/03/06,7471,7543,2212,0
2023/03/07,7424,7495,2198,0
2023/03/08,7400,7471,2191,0
2023/03/09,7366,7437,2181,0
2023/03/10,7197,7266,2131,0
2023/03/13,6926,6992,2051,0
2023/03/14,6817,6882,2018,0
2023/03/15,7025,7092,2080,0
2023/03/16,6844,6910,2027,0
2023/03/17,6977,7044,2740,0
2023/03/20,6856,6922,2693,0
2023/03/22,7018,7085,2756,0
2023/03/23,6848,6914,2689,0
2023/03/24,6860,6926,2694,0
2023/03/27,6774,6839,2660,0
2023/03/28,6842,6908,2687,0
2023/03/29,6837,6903,2685,0
2023/03/30,7015,7082,2755,0
2023/03/31,7151,7220,2808,0
2023/04/03,7231,7300,2839,0
2023/04/04,7127,7195,2799,0
2023/04/05,7058,7126,2772,0
2023/04/06,6911,6977,2711,0
2023/04/07,6940,7007,2722,0
2023/04/10,6982,7049,2739,0
2023/04/11,7075,7143,2776,0
2023/04/12,7126,7194,2793,0
2023/04/13,7098,7166,2783,0
2023/04/14,7193,7262,2820,0
2023/04/17,7242,7311,2839,0
2023/04/18,7300,7370,2862,0
2023/04/19,7291,7361,2858,0
2023/04/20,7333,7403,2875,0
2023/04/21,7253,7323,2843,0
2023/04/24,7301,7371,2862,0
2023/04/25,7305,7375,2864,0
2023/04/26,7063,7131,2769,0
2023/04/27,7140,7209,2799,0
2023/04/28,7247,7317,2841,0
2023/05/01,7411,7482,2905,0
2023/05/02,7436,7507,2915,0
2023/05/08,7401,7472,2901,0
2023/05/09,7437,7508,2912,0
2023/05/10,7418,7489,2905,0
2023/05/11,7352,7423,2879,0
2023/05/12,7488,7560,2932,0
2023/05/15,7500,7572,2933,0
2023/05/16,7558,7631,2956,0
2023/05/17,7540,7612,2949,0
2023/05/18,7680,7754,3004,0
2023/05/19,7853,7928,3072,0
2023/05/22,7789,7864,3043,0
2023/05/23,7921,7997,3095,0
2023/05/24,7809,7884,3051,0
2023/05/25,7796,7871,3046,0
2023/05/26,7837,7912,3060,0
2023/05/29,8045,8122,3141,0
2023/05/30,8004,8081,3125,0
2023/05/31,8028,8105,3135,0
2023/06/01,7959,8035,3107,0
2023/06/02,8075,8152,3153,0
2023/06/05,8258,8337,3224,0
2023/06/06,8225,8304,3211,0
2023/06/07,8312,8392,3246,0
2023/06/08,8208,8287,3206,0
2023/06/09,8204,8283,3200,0
2023/06/12,8221,8300,3207,0
2023/06/13,8328,8408,3249,0
2023/06/14,8412,8493,3282,0
2023/06/15,8433,8514,3290,0
2023/06/16,8491,8572,3309,0
2023/06/19,8503,8585,3314,0
2023/06/20,8509,8591,3316,0
2023/06/21,8461,8542,3298,0
2023/06/22,8375,8455,3264,0
2023/06/23,8448,8529,3293,0
2023/06/26,8384,8464,3268,0
2023/06/27,8369,8449,3555,0
2023/06/28,8477,8558,3601,0
2023/06/29,8575,8657,3643,0
2023/06/30,8607,8690,3656,0
2023/07/03,8665,8748,3681,0
2023/07/04,8640,8723,3671,0
2023/07/05,8625,8708,3664,0
2023/07/06,8538,8620,3627,0
2023/07/07,8418,8499,3576,0
2023/07/10,8381,8461,3557,0
2023/07/11,8455,8536,3581,0
2023/07/12,8449,8530,3579,0
2023/07/13,8472,8553,3589,0
2023/07/14,8513,8595,3606,0
2023/07/18,8607,8690,3646,0
2023/07/19,8646,8729,3648,0
2023/07/20,8670,8753,3659,0
2023/07/21,8527,8609,3598,0
2023/07/24,8641,8724,3646,0
2023/07/25,8601,8684,3630,0
2023/07/26,8590,8672,3624,0
2023/07/27,8503,8585,3587,0
2023/07/28,8421,8502,3553,0
2023/07/31,8616,8699,3634,0
2023/08/01,8756,8840,3694,0
2023/08/02,8760,8844,3690,0
2023/08/03,8502,8584,3581,0
2023/08/04,8448,8529,3559,0
2023/08/07,8462,8543,3565,0
2023/08/08,8526,8608,3591,0
2023/08/09,8313,8393,3495,0
2023/08/10,8432,8513,3545,0
2023/08/14,8456,8537,3555,0
2023/08/15,8550,8632,3595,0
2023/08/16,8471,8552,3561,0
2023/08/17,8438,8519,3548,0
2023/08/18,8098,8176,3405,0
2023/08/21,8124,8202,3415,0
2023/08/22,8234,8313,3462,0
2023/08/23,8176,8254,3437,0
2023/08/24,8198,8277,3447,0
2023/08/25,8097,8175,3404,0
2023/08/28,8160,8238,3431,0
2023/08/29,8191,8270,3444,0
2023/08/30,8301,8381,3490,0
2023/08/31,8381,8461,3524,0
2023/09/01,8384,8464,3525,0
2023/09/04,8537,8619,3588,0
2023/09/05,8559,8641,3598,0
2023/09/06,8567,8649,3601,0
2023/09/07,8553,8635,3595,0
2023/09/08,8447,8528,3551,0
2023/09/11,8431,8512,3544,0
2023/09/12,8481,8562,3558,0
2023/09/13,8408,8489,3528,0
2023/09/14,8399,8480,3524,0
2023/09/15,8431,8512,3538,0
2023/09/19,8345,8425,3501,0
2023/09/20,8281,8360,3475,0
2023/09/21,8251,8330,3462,0
2023/09/22,8018,8095,3364,0
2023/09/25,8079,8157,3390,0
2023/09/26,8096,8174,3397,0
2023/09/27,7980,8057,3347,0
2023/09/28,8053,8130,3378,0
2023/09/29,8154,8232,3420,0
2023/10/02,8203,8282,3441,0
2023/10/03,8172,8250,3428,0
2023/10/04,7989,8066,3351,0
2023/10/05,8042,8119,3373,0
2023/10/06,8074,8151,3386,0
2023/10/10,8236,8315,3454,0
2023/10/11,8348,8428,3501,0
2023/10/12,8398,8479,3522,0
2023/10/13,8345,8425,3500,0
2023/10/16,8219,8298,3446,0
2023/10/17,8332,8412,3494,0
2023/10/18,8394,8475,3520,0
2023/10/19,8229,8308,3449,0
2023/10/20,8162,8240,3420,0
2023/10/23,8025,8102,3363,0
2023/10/24,7985,8062,3346,0
2023/10/25,8088,8166,3388,0
2023/10/26,7831,7906,3280,0
2023/10/27,7771,7846,3252,0
2023/10/30,7716,7790,3228,0
2023/10/31,7689,7763,3217,0
2023/11/01,7928,8004,3317,0
2023/11/02,7897,7973,3304,0
2023/11/06,8018,8095,3354,0
2023/11/07,7970,8046,3334,0
2023/11/08,8096,8174,3387,0
2023/11/09,8093,8171,3380,0
2023/11/10,8132,8210,3396,0
2023/11/13,8220,8299,3430,0
2023/11/14,8277,8356,3454,0
2023/11/15,8550,8632,3568,0
2023/11/16,8557,8639,3571,0
2023/11/17,8524,8606,3556,0
2023/11/20,8564,8646,3571,0
2023/11/21,8560,8642,3567,0
2023/11/22,8547,8629,3558,0
2023/11/24,8666,8749,3608,0
2023/11/27,8699,8782,3621,0
2023/11/28,8603,8686,3580,0
2023/11/29,8492,8573,3534,0
2023/11/30,8529,8611,3550,0
2023/12/01,8556,8638,3560,0
2023/12/04,8603,8686,3580,0
2023/12/05,8607,8690,3582,0
2023/12/06,8559,8641,3561,0
2023/12/07,8512,8594,3542,0
2023/12/08,8360,8440,3465,0
2023/12/11,8539,8621,3539,0
2023/12/12,8655,8738,3587,0
2023/12/13,8699,8782,3606,0
2023/12/14,8635,8718,3579,0
2023/12/15,8756,8840,3630,0
2023/12/18,8723,8807,3616,0
2023/12/19,8790,8874,3643,0
2023/12/20,8998,9084,3730,0
2023/12/21,8893,8978,3686,0
2023/12/22,8948,9034,3707,0
2023/12/25,8936,9022,3702,0
2023/12/26,8944,9030,3705,0
2023/12/27,9037,9124,3744,0
2023/12/28,9025,9112,3739,0
2023/12/29,9015,9102,3734,0
2024/01/04,8689,8772,3599,0
2024/01/05,8813,8898,3651,0
2024/01/09,8951,9037,3708,0
2024/01/10,9009,9095,3732,0
2024/01/11,9176,9264,3798,0
2024/01/12,9166,9254,3793,0
2024/01/15,9182,9270,3800,0
2024/01/16,9211,9299,3812,0
2024/01/17,9321,9410,3858,0
2024/01/18,9297,9386,3848,0
2024/01/19,9405,9495,3892,0
2024/01/22,9506,9597,3934,0
2024/01/23,9565,9657,3959,0
2024/01/24,9552,9644,3953,0
2024/01/25,9510,9601,3936,0
2024/01/26,9508,9599,3935,0
2024/01/29,9553,9645,3952,0
2024/01/30,9629,9721,3983,0
2024/01/31,9634,9726,3986,0
2024/02/01,9445,9536,3907,0
2024/02/02,9583,9675,3964,0
2024/02/05,9793,9887,4051,0
2024/02/06,9717,9810,4020,0
2024/02/07,9682,9775,4005,0
2024/02/08,9757,9851,4036,0
2024/02/09,9963,10059,4122,0
2024/02/13,10087,10184,4173,0
2024/02/14,9975,10071,4126,0
2024/02/15,10137,10234,4194,0
2024/02/16,10269,10368,4244,0
2024/02/19,10289,10388,4252,0
2024/02/20,10308,10407,4260,0
2024/02/21,10163,10261,4200,0
2024/02/22,10114,10211,4180,0
2024/02/26,10180,10379,4207,100
2024/02/27,10302,10503,4257,0
2024/02/28,10347,10549,4276,0
2024/02/29,10346,10548,4276,0
2024/03/01,10416,10619,4305,0
2024/03/04,10559,10765,4358,0
2024/03/05,10635,10843,4389,0
2024/03/06,10415,10618,4299,0
2024/03/07,10460,10664,4317,0
2024/03/08,10475,10679,4323,0
2024/03/11,10281,10482,4244,0
2024/03/12,10225,10425,4221,0
2024/03/13,10396,10599,4291,0
2024/03/14,10387,10590,4287,0
2024/03/15,10311,10512,4256,0
2024/03/18,10344,10546,4270,0
2024/03/19,10430,10634,4304,0
2024/03/21,10708,10917,4419,0
2024/03/22,10919,11132,4506,0
2024/03/25,10744,11056,4434,100
2024/03/26,10726,11037,4426,0
2024/03/27,10794,11107,4454,0
2024/03/28,10800,11113,4456,0
2024/03/29,10797,11110,4455,0
2024/04/01,10799,11112,4455,0
2024/04/02,10794,11107,4453,0
2024/04/03,10731,11042,4423,0
2024/04/04,10869,11184,4478,0
2024/04/05,10700,11010,4408,0
2024/04/08,10913,11230,4496,0
2024/04/09,11003,11322,4532,0
2024/04/10,10902,11218,4492,0
2024/04/11,10892,11208,4490,0
2024/04/12,10998,11317,4534,0
2024/04/15,10783,11096,4444,0
2024/04/16,10688,10998,4404,0
2024/04/17,10651,10960,4389,0
2024/04/18,10528,10833,4339,0
2024/04/19,10463,10766,4313,0
2024/04/22,10299,10598,4245,0
2024/04/23,10389,10690,4282,0
2024/04/24,10651,10960,4390,0
2024/04/25,10551,10960,4349,100
2024/04/26,10507,10914,4331,0
2024/04/30,10687,11101,4406,0
2024/05/01,10575,10985,4360,0
2024/05/02,10413,10817,4293,0
2024/05/07,10808,11227,4456,0
2024/05/08,10845,11265,4471,0
2024/05/09,10879,11301,4485,0
2024/05/10,10967,11392,4521,0
2024/05/13,11025,11452,4545,0
2024/05/14,10974,11399,4524,0
2024/05/15,11060,11489,4560,0
2024/05/16,11126,11557,4587,0
2024/05/17,11203,11637,4620,0
2024/05/20,11207,11641,4622,0
2024/05/21,11293,11731,4657,0
2024/05/22,11284,11721,4653,0
2024/05/23,11279,11716,4649,0
2024/05/24,11228,11663,4628,0
2024/05/27,11212,11854,4622,200
2024/05/28,11234,11878,4631,0
2024/05/29,11224,11867,4627,0
2024/05/30,11082,11717,4568,0
2024/05/31,10991,11621,4530,0
2024/06/03,11010,11641,4540,0
2024/06/04,10946,11573,4514,0
2024/06/05,10738,11353,4427,0
2024/06/06,10973,11602,4524,0
2024/06/07,10954,11581,4517,0
2024/06/10,11030,11662,4548,0
2024/06/11,11074,11708,4566,0
2024/06/12,11009,11640,4540,0
2024/06/13,11139,11777,4593,0
2024/06/14,11044,11677,4554,0
2024/06/17,10954,11581,4517,0
2024/06/18,11069,11703,4564,0
2024/06/19,11202,11844,4619,0
2024/06/20,11214,11856,4623,0
2024/06/21,11220,11863,4625,0
2024/06/24,11294,11941,4658,0
2024/06/25,11028,11871,4549,200
2024/06/26,11134,11985,4587,0
2024/06/27,11192,12048,4827,0
2024/06/28,11308,12173,4878,0
2024/07/01,11297,12161,4874,0
2024/07/02,11303,12167,4877,0
2024/07/03,11354,12222,4901,0
2024/07/04,11466,12343,4950,0
2024/07/05,11465,12342,4950,0
2024/07/08,11445,12320,4941,0
2024/07/09,11466,12343,4952,0
2024/07/10,11398,12269,4922,0
2024/07/11,11476,12353,4950,0
2024/07/12,11301,12165,4875,0
2024/07/16,11386,12257,4912,0
2024/07/17,11494,12373,4959,0
2024/07/18,10892,11725,4700,0
2024/07/19,10934,11770,4718,0
2024/07/22,10872,11703,4691,0
2024/07/23,10985,11825,4740,0
2024/07/24,10992,11832,4743,0
2024/07/25,10416,11320,4495,100
2024/07/26,10372,11272,4476,0
2024/07/29,10493,11404,4528,0
2024/07/30,10486,11396,4525,0
2024/07/31,10333,11230,4459,0
2024/08/01,10337,11234,4461,0
2024/08/02,10166,11048,4387,0
2024/08/05,9444,10264,4075,0
2024/08/06,9227,10028,3992,0
2024/08/07,9494,10318,4107,0
2024/08/08,9407,10223,4070,0
2024/08/09,9852,10707,4252,0
2024/08/13,9937,10799,4289,0
2024/08/14,10136,11016,4375,0
2024/08/15,10295,11189,4443,0
2024/08/16,10635,11558,4590,0
2024/08/19,10590,11509,4571,0
2024/08/20,10558,11474,4558,0
2024/08/21,10465,11373,4518,0
2024/08/22,10580,11498,4568,0
2024/08/23,10586,11505,4571,0
2024/08/26,10398,11409,4491,100
2024/08/27,10413,11426,4496,0
2024/08/28,10382,11392,4483,0
2024/08/29,10323,11327,4458,0
2024/08/30,10447,11463,4511,0
2024/09/02,10664,11701,4605,0
2024/09/03,10698,11738,4620,0
2024/09/04,10245,11241,4424,0
2024/09/05,10123,11107,4372,0
2024/09/06,10060,11038,4344,0
2024/09/09,9719,10664,4197,0
2024/09/10,9862,10821,4259,0
2024/09/11,9773,10723,4220,0
2024/09/12,10062,11040,4345,0
2024/09/13,10196,11188,4404,0
2024/09/17,10378,11387,4483,0
2024/09/18,10498,11519,4534,0
2024/09/19,10662,11699,4605,0
2024/09/20,10883,11941,4701,0
2024/09/24,11014,12085,4757,0
2024/09/25,10852,12127,4688,200
2024/09/26,10955,12242,4734,0
2024/09/27,10983,12273,4746,0
2024/09/30,10727,11987,4636,0
2024/10/01,10876,12154,4700,0
2024/10/02,10798,12066,4667,0
2024/10/03,11088,12390,4792,0
2024/10/04,11079,12380,4786,0
2024/10/07,11393,12731,4931,0
2024/10/08,11259,12582,4874,0
2024/10/09,11395,12734,4933,0
2024/10/10,11550,12907,4999,0
2024/10/11,11511,12863,4987,0
2024/10/15,11764,13146,5103,0
2024/10/16,11573,12932,5026,0
2024/10/17,11638,13005,5055,0
2024/10/18,11704,13079,5145,0
2024/10/21,11716,13092,5151,0
2024/10/22,11867,13261,5220,0
2024/10/23,11899,13297,5237,0
2024/10/24,11973,13379,5279,0
2024/10/25,11845,13460,5232,200
2024/10/28,11947,13576,5289,0
2024/10/29,12050,13693,5321,0
2024/10/30,12132,13786,5351,0
2024/10/31,12115,13767,5346,0
2024/11/01,11722,13320,5385,0
2024/11/05,11813,13424,5735,0
2024/11/06,12081,13728,5857,0
2024/11/07,12513,14219,6051,0
2024/11/08,12958,14725,6279,0
2024/11/11,13169,14964,6411,0
2024/11/12,13275,15085,6463,0
2024/11/13,13329,15146,6508,0
2024/11/14,13368,15191,6543,0
2024/11/15,13250,15056,6488,0
2024/11/18,12965,14733,6357,0
2024/11/19,13083,14867,6435,0
2024/11/20,13395,15221,6620,0
